lineage,1.0,1.0.2,1.0.3,1.0.5,1.0.6,1.0.7,1.0.8,1.0.9,1.0.10,1.0.11,1.0.12
A.18,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AE.1,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
AE.2,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AE.4,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AE.7,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AE.8,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AF.1,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AG.1,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AN.1,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
AQ.1,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.10,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.101,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.107,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.109,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.110,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.111,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.113,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.114,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.115,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.119,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.12,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.121,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.125,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.127,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.128,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.129,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.13,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.130,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.132,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.133,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
